surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber,org_tsn
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,3139,thalassionema_nitzschioides,not_applicable,ph103,count,15872,l,0703010601,143,20131015cb6.4,3139
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,3577,cocconeis,not_applicable,ph103,count,512,l,07030402,55,20131015cb6.4,3577
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,4592,pleurosigma,not_applicable,ph103,count,4096,l,07030517,108,20131015cb6.4,4592
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,5318,cylindrotheca_closterium,not_applicable,ph103,count,1024,l,0703100402,100,20131015cb6.4,5318
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,5415,chlorophyceae,microphytoflagellates,ph103,count,512,l,0801,1135,20131015cb6.4,5415
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,5878,ankistrodesmus_falcatus,not_applicable,ph103,count,1024,l,0803050701,988,20131015cb6.4,5878
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,9535,pyramimonas,not_applicable,ph103,count,1024,l,10020203,525,20131015cb6.4,9535
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,9620,euglena,not_applicable,ph103,count,2048,l,11030101,850,20131015cb6.4,9620
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,9873,pyrrophycophyta,not_applicable,ph103,count,512,l,12,159,20131015cb6.4,9873
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,9879,prorocentrum_micans,not_applicable,ph103,count,2560,l,1202010401,374,20131015cb6.4,9879
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,9880,prorocentrum_minimum,not_applicable,ph103,count,512,l,1202010402,375,20131015cb6.4,9880
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10031,gymnodinium,not_applicable,ph103,count,7168,l,12040103,337,20131015cb6.4,10031
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10106,katodinium_rotundatum,not_applicable,ph103,count,1024,l,1204010502,412,20131015cb6.4,10106
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10171,diplopsalis_lenticula,not_applicable,ph103,count,2048,l,1204090202,484,20131015cb6.4,10171
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10207,heterocapsa_triquetra,not_applicable,ph103,count,3584,l,1204100101,447,20131015cb6.4,10207
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10340,protoperidinium,not_applicable,ph103,count,1024,l,12041005,355,20131015cb6.4,10340
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10537,scrippsiella_trochoidea,not_applicable,ph103,count,1024,l,1204270101,462,20131015cb6.4,10537
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10635,cryptomonas,<10_microns,ph103,count,2380646,l,14020303,1364,20131015cb6.4,10635
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,10635,cryptomonas,not_applicable,ph103,count,1136640,l,14020303,862,20131015cb6.4,10635
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,615879,pseudo-nitzschia_seriata,not_applicable,ph103,count,516654,l,0703100114,105,20131015cb6.4,615879
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,615883,guinardia_delicatula,not_applicable,ph103,count,4096,l,0702100107,121,20131015cb6.4,615883
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,0,micro-phytoflagellates,<10_microns,ph103,count,189369,l,phytoflag,804,20131015le5.5-w,0
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2265,rhabdosphaera_hispida,not_applicable,ph103,count,128,l,0603050603,291,20131015le5.5-w,2265
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2288,centrales,<10_microns,ph103,count,216422,l,0702,1360,20131015le5.5-w,2288
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2288,centrales,10-30_microns,ph103,count,839563,l,0702,1367,20131015le5.5-w,2288
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2288,centrales,31-60_microns,ph103,count,271243,l,0702,1368,20131015le5.5-w,2288
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2294,melosira_nummuloides,not_applicable,ph103,count,256,l,0702010104,195,20131015le5.5-w,2294
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2346,paralia_sulcata,not_applicable,ph103,count,6400,l,0702010201,96,20131015le5.5-w,2346
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2396,leptocylindrus_minimus,not_applicable,ph103,count,10368,l,0702011202,89,20131015le5.5-w,2396
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2402,skeletonema_costatum,not_applicable,ph103,count,413323,l,0702020101,136,20131015le5.5-w,2402
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2484,thalassiosira,not_applicable,ph103,count,129163,l,07020205,156,20131015le5.5-w,2484
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2546,coscinodiscus,not_applicable,ph103,count,256,l,07020301,58,20131015le5.5-w,2546
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2755,cerataulina_pelagica,not_applicable,ph103,count,2432,l,0702080202,18,20131015le5.5-w,2755
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2758,chaetoceros,not_applicable,ph103,count,3200,l,07020901,20,20131015le5.5-w,2758
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2829,chaetoceros_subtilis,not_applicable,ph103,count,640,l,0702090152,248,20131015le5.5-w,2829
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2902,rhizosolenia_setigera,not_applicable,ph103,count,640,l,0702100113,132,20131015le5.5-w,2902
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2928,ditylum_brightwellii,not_applicable,ph103,count,512,l,0702100401,74,20131015le5.5-w,2928
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2930,pennales,>60_microns,ph103,count,3584,l,0703,1372,20131015le5.5-w,2930
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2930,pennales,10-30_microns,ph103,count,77498,l,0703,1370,20131015le5.5-w,2930
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2930,pennales,31-60_microns,ph103,count,3200,l,0703,1371,20131015le5.5-w,2930
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,2932,fragilaria,not_applicable,ph103,count,1664,l,07030101,77,20131015le5.5-w,2932
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,3013,synedra,not_applicable,ph103,count,128,l,07030103,217,20131015le5.5-w,3013
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,3139,thalassionema_nitzschioides,not_applicable,ph103,count,19200,l,0703010601,143,20131015le5.5-w,3139
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,3155,licmophora,not_applicable,ph103,count,256,l,07030110,204,20131015le5.5-w,3155
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,3214,diatoma,not_applicable,ph103,count,256,l,07030121,223,20131015le5.5-w,3214
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,3577,cocconeis,not_applicable,ph103,count,128,l,07030402,55,20131015le5.5-w,3577
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,3649,navicula,not_applicable,ph103,count,640,l,07030501,97,20131015le5.5-w,3649
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,4325,diploneis,not_applicable,ph103,count,128,l,07030506,72,20131015le5.5-w,4325
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,4592,pleurosigma,not_applicable,ph103,count,4352,l,07030517,108,20131015le5.5-w,4592
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,4624,gyrosigma_fasciola,not_applicable,ph103,count,128,l,0703051802,915,20131015le5.5-w,4624
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,5318,cylindrotheca_closterium,not_applicable,ph103,count,1280,l,0703100402,100,20131015le5.5-w,5318
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,5331,surirella,not_applicable,ph103,count,256,l,07031101,140,20131015le5.5-w,5331
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,5878,ankistrodesmus_falcatus,not_applicable,ph103,count,256,l,0803050701,988,20131015le5.5-w,5878
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,9535,pyramimonas,not_applicable,ph103,count,128,l,10020203,525,20131015le5.5-w,9535
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,9620,euglena,not_applicable,ph103,count,512,l,11030101,850,20131015le5.5-w,9620
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,9873,pyrrophycophyta,not_applicable,ph103,count,4864,l,12,159,20131015le5.5-w,9873
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,9879,prorocentrum_micans,not_applicable,ph103,count,4352,l,1202010401,374,20131015le5.5-w,9879
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,9880,prorocentrum_minimum,not_applicable,ph103,count,2944,l,1202010402,375,20131015le5.5-w,9880
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10031,gymnodinium,not_applicable,ph103,count,38749,l,12040103,337,20131015le5.5-w,10031
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10077,gyrodinium,not_applicable,ph103,count,128,l,12040104,341,20131015le5.5-w,10077
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10106,katodinium_rotundatum,not_applicable,ph103,count,154996,l,1204010502,412,20131015le5.5-w,10106
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10171,diplopsalis_lenticula,not_applicable,ph103,count,256,l,1204090202,484,20131015le5.5-w,10171
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10207,heterocapsa_triquetra,not_applicable,ph103,count,19712,l,1204100101,447,20131015le5.5-w,10207
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10340,protoperidinium,not_applicable,ph103,count,128,l,12041005,355,20131015le5.5-w,10340
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10359,gonyaulax,not_applicable,ph103,count,38749,l,12041102,336,20131015le5.5-w,10359
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10635,cryptomonas,<10_microns,ph103,count,162316,l,14020303,1364,20131015le5.5-w,10635
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,10635,cryptomonas,not_applicable,ph103,count,800814,l,14020303,862,20131015le5.5-w,10635
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,584566,pseudo-nitzschia_pungens,not_applicable,ph103,count,14080,l,0703100113,104,20131015le5.5-w,584566
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,615879,pseudo-nitzschia_seriata,not_applicable,ph103,count,256,l,0703100114,105,20131015le5.5-w,615879
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,615882,dactyliosolen_fragilissimus,not_applicable,ph103,count,640,l,0702100108,123,20131015le5.5-w,615882
433322,433322,odu/pel,c,le5.5-w,2013-01-16,ap,fs1,7,615890,asterionellopsis_glacialis,not_applicable,ph103,count,1920,l,070301asgl,5,20131015le5.5-w,615890
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,0,blue_green_sphere,cell_b,ph103,count,523920,l,03,1389,20131015we4.2,0
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2288,centrales,<10_microns,ph103,count,514003,l,0702,1360,20131015we4.2,2288
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2288,centrales,10-30_microns,ph103,count,142080,l,0702,1367,20131015we4.2,2288
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2288,centrales,31-60_microns,ph103,count,384,l,0702,1368,20131015we4.2,2288
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2402,skeletonema_costatum,not_applicable,ph103,count,293040,l,0702020101,136,20131015we4.2,2402
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2440,cyclotella_caspia,not_applicable,ph103,count,512,l,0702020301,956,20131015we4.2,2440
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2484,thalassiosira,not_applicable,ph103,count,768,l,07020205,156,20131015we4.2,2484
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2546,coscinodiscus,not_applicable,ph103,count,128,l,07020301,58,20131015we4.2,2546
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2755,cerataulina_pelagica,not_applicable,ph103,count,106560,l,0702080202,18,20131015we4.2,2755
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2758,chaetoceros,not_applicable,ph103,count,62160,l,07020901,20,20131015we4.2,2758
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2902,rhizosolenia_setigera,not_applicable,ph103,count,768,l,0702100113,132,20131015we4.2,2902
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2928,ditylum_brightwellii,not_applicable,ph103,count,384,l,0702100401,74,20131015we4.2,2928
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,2930,pennales,31-60_microns,ph103,count,128,l,0703,1371,20131015we4.2,2930
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,3139,thalassionema_nitzschioides,not_applicable,ph103,count,106560,l,0703010601,143,20131015we4.2,3139
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,3577,cocconeis,not_applicable,ph103,count,256,l,07030402,55,20131015we4.2,3577
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,3649,navicula,not_applicable,ph103,count,128,l,07030501,97,20131015we4.2,3649
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,4592,pleurosigma,not_applicable,ph103,count,256,l,07030517,108,20131015we4.2,4592
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,5318,cylindrotheca_closterium,not_applicable,ph103,count,26640,l,0703100402,100,20131015we4.2,5318
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,5878,ankistrodesmus_falcatus,not_applicable,ph103,count,640,l,0803050701,988,20131015we4.2,5878
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,9535,pyramimonas,not_applicable,ph103,count,35520,l,10020203,525,20131015we4.2,9535
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,9620,euglena,not_applicable,ph103,count,97680,l,11030101,850,20131015we4.2,9620
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,9873,pyrrophycophyta,not_applicable,ph103,count,133200,l,12,159,20131015we4.2,9873
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,9879,prorocentrum_micans,not_applicable,ph103,count,1664,l,1202010401,374,20131015we4.2,9879
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,9997,amphidinium,not_applicable,ph103,count,44400,l,12040101,300,20131015we4.2,9997
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,10031,gymnodinium,not_applicable,ph103,count,35520,l,12040103,337,20131015we4.2,10031
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,10537,scrippsiella_trochoidea,not_applicable,ph103,count,640,l,1204270101,462,20131015we4.2,10537
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,10635,cryptomonas,<10_microns,ph103,count,162316,l,14020303,1364,20131015we4.2,10635
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,10635,cryptomonas,not_applicable,ph103,count,71040,l,14020303,862,20131015we4.2,10635
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,615879,pseudo-nitzschia_seriata,not_applicable,ph103,count,142080,l,0703100114,105,20131015we4.2,615879
433318,433318,odu/pel,c,we4.2,2013-01-16,ap,fs1,7,615890,asterionellopsis_glacialis,not_applicable,ph103,count,1792,l,070301asgl,5,20131015we4.2,615890
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,0,blue_green_sphere,cell,ph103,count,113664,l,03,1388,20131015cb6.1,0
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,0,blue_green_sphere,cell_b,ph103,count,6649344,l,03,1389,20131015cb6.1,0
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,0,green_cells,3-5_microns,ph103,count,27052,l,green_cells,429,20131015cb6.1,0
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,0,psuedosolenia_calcar-avis,not_applicable,ph103,count,256,l,0702100104,118,20131015cb6.1,970064
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,1814,ebria_tripartita,not_applicable,ph103,count,128,l,0407010301,718,20131015cb6.1,1814
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2288,centrales,<10_microns,ph103,count,730425,l,0702,1360,20131015cb6.1,2288
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2288,centrales,10-30_microns,ph103,count,269952,l,0702,1367,20131015cb6.1,2288
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2288,centrales,31-60_microns,ph103,count,256,l,0702,1368,20131015cb6.1,2288
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2294,melosira_nummuloides,not_applicable,ph103,count,512,l,0702010104,195,20131015cb6.1,2294
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2402,skeletonema_costatum,not_applicable,ph103,count,681984,l,0702020101,136,20131015cb6.1,2402
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2439,cyclotella,>30_microns,ph103,count,56832,l,07020203,955,20131015cb6.1,2439
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2484,thalassiosira,not_applicable,ph103,count,512,l,07020205,156,20131015cb6.1,2484
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2546,coscinodiscus,not_applicable,ph103,count,42624,l,07020301,58,20131015cb6.1,2546
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2755,cerataulina_pelagica,not_applicable,ph103,count,213120,l,0702080202,18,20131015cb6.1,2755
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2758,chaetoceros,not_applicable,ph103,count,269952,l,07020901,20,20131015cb6.1,2758
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2819,chaetoceros_pendulus,not_applicable,ph103,count,640,l,0702090142,44,20131015cb6.1,2819
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2930,pennales,<10_microns,ph103,count,324633,l,0703,1362,20131015cb6.1,2930
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2930,pennales,>60_microns,ph103,count,56832,l,0703,1372,20131015cb6.1,2930
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2930,pennales,10-30_microns,ph103,count,256,l,0703,1370,20131015cb6.1,2930
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,2930,pennales,31-60_microns,ph103,count,42624,l,0703,1371,20131015cb6.1,2930
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,3139,thalassionema_nitzschioides,not_applicable,ph103,count,3456,l,0703010601,143,20131015cb6.1,3139
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,3147,rhaphoneis_amphiceros,not_applicable,ph103,count,256,l,0703010802,673,20131015cb6.1,3147
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,3337,eunotia,not_applicable,ph103,count,128,l,07030301,289,20131015cb6.1,3337
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,4592,pleurosigma,not_applicable,ph103,count,640,l,07030517,108,20131015cb6.1,4592
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,5878,ankistrodesmus_falcatus,not_applicable,ph103,count,56832,l,0803050701,988,20131015cb6.1,5878
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,9535,pyramimonas,not_applicable,ph103,count,42624,l,10020203,525,20131015cb6.1,9535
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,9620,euglena,not_applicable,ph103,count,128,l,11030101,850,20131015cb6.1,9620
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,9879,prorocentrum_micans,not_applicable,ph103,count,8960,l,1202010401,374,20131015cb6.1,9879
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,9880,prorocentrum_minimum,not_applicable,ph103,count,1280,l,1202010402,375,20131015cb6.1,9880
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10031,gymnodinium,not_applicable,ph103,count,127872,l,12040103,337,20131015cb6.1,10031
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10106,katodinium_rotundatum,not_applicable,ph103,count,256,l,1204010502,412,20131015cb6.1,10106
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10171,diplopsalis_lenticula,not_applicable,ph103,count,1792,l,1204090202,484,20131015cb6.1,10171
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10207,heterocapsa_triquetra,not_applicable,ph103,count,1024,l,1204100101,447,20131015cb6.1,10207
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10340,protoperidinium,not_applicable,ph103,count,512,l,12041005,355,20131015cb6.1,10340
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10537,scrippsiella_trochoidea,not_applicable,ph103,count,896,l,1204270101,462,20131015cb6.1,10537
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10635,cryptomonas,<10_microns,ph103,count,811584,l,14020303,1364,20131015cb6.1,10635
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,10635,cryptomonas,not_applicable,ph103,count,412032,l,14020303,862,20131015cb6.1,10635
433328,433328,odu/pel,c,cb6.1,2013-01-28,ap,fs1,7,615879,pseudo-nitzschia_seriata,not_applicable,ph103,count,170496,l,0703100114,105,20131015cb6.1,615879
433326,433326,odu/pel,c,cb7.3e,2013-01-28,ap,fs1,7,0,blue_green_sphere,cell_b,ph103,count,1308631,l,03,1389,20131015cb7.3e,0
433326,433326,odu/pel,c,cb7.3e,2013-01-28,ap,fs1,7,0,odontella_alternans,not_applicable,ph103,count,128,l,0702070101,14,20131015cb7.3e,573604
433326,433326,odu/pel,c,cb7.3e,2013-01-28,ap,fs1,7,2288,centrales,<10_microns,ph103,count,297580,l,0702,1360,20131015cb7.3e,2288
433326,433326,odu/pel,c,cb7.3e,2013-01-28,ap,fs1,7,2288,centrales,10-30_microns,ph103,count,67301,l,0702,1367,20131015cb7.3e,2288
433326,433326,odu/pel,c,cb7.3e,2013-01-28,ap,fs1,7,2288,centrales,31-60_microns,ph103,count,128,l,0702,1368,20131015cb7.3e,2288
